Handle,Title,Body,Vendor,Type,Tags,Published,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Variant sku,Variant grams,Variant inventory tracker,Variant inventory policy,Variant inventory quantity,Variant fullfilment service,Variant price,Variant compare at price,Variant requires shipping,Variant taxable,Variant barcode,Image src,Image alt text,Gift card
fantastic-bronze-lamp,Fantastic Bronze Lamp,Typewriter health shabby chic meh street hoodie 3 wolf moon pbr&b literally. Thank You And Goodnight. Shunned immemorial foetid iridescence spectral comprehension. Passing By And Thought I'd Drop In.,Heller LLC,Videos,"Outdoors,Beauty,Computers",TRUE,Color,jade,,,,,,680,,deny,24,manual,20.03,,TRUE,TRUE,,https://source.unsplash.com/random/?interior ,Ablation,FALSE
fantastic-bronze-lamp,,,,,,,Color,plum,,,,,fantastic-bronze-lamp-plum,749,,deny,45,manual,20.03,,TRUE,TRUE,,,,
fantastic-bronze-lamp,,,,,,,Color,cerulean,,,,,fantastic-bronze-lamp-cerulean,990,,deny,24,manual,20.03,,TRUE,TRUE,,,,
mediocre-leather-plate,Mediocre Leather Plate,Just The Washing Instruction Chip In Life's Rich Tapestry. Mustache kale chips echo keffiyeh tousled viral meditation vinegar post-ironic. Effulgence antiquarian foetid gambrel unmentionable abnormal noisome. Heavy Messing.,"Hammes, Reilly and Gutmann",Videos,"Shoes,Music,Jewelry",TRUE,Color,purple,,,,,,41,,deny,23,manual,5.45,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Armchair Traveller,FALSE
mediocre-leather-plate,,,,,,,Color,white,,,,,mediocre-leather-plate-white,407,,deny,24,manual,5.45,,TRUE,TRUE,,,,
mediocre-leather-plate,,,,,,,Color,blush,,,,,mediocre-leather-plate-blush,399,,deny,17,manual,5.45,,TRUE,TRUE,,,,
intelligent-copper-bench,Intelligent Copper Bench,Goth cliche +1 before they sold out mlkshk farm-to-table waistcoat bicycle rights. Hideous shunned dank gibbering immemorial antediluvian unmentionable blasphemous. Fate Amenable To Change. A Fine Disregard For Awkward Facts.,"Kautzer, Gusikowski and Schowalter",Books,"Health,Clothing,Shoes",TRUE,Color,gold,,,,,,882,,deny,3,manual,44.31,,TRUE,TRUE,,https://source.unsplash.com/random/?houseplant ,Contents May Differ,FALSE
intelligent-copper-bench,,,,,,,Color,pink,,,,,intelligent-copper-bench-pink,385,,deny,13,manual,44.31,,TRUE,TRUE,,,,
intelligent-copper-bench,,,,,,,Color,yellow,,,,,intelligent-copper-bench-yellow,841,,deny,47,manual,44.31,,TRUE,TRUE,,,,
fantastic-steel-lamp,Fantastic Steel Lamp,You'll Clean That Up Before You Leave. Charitable View. Decadent unnamable mortal madness comprehension immemorial. Letterpress food truck distillery phlogiston brunch small batch 3 wolf moon.,"Koss, Jacobson and D'Amore",Videos,"Baby,Clothing,Industrial",TRUE,Color,carmine,,,,,,346,,deny,18,manual,87.6,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Revisionist,FALSE
fantastic-steel-lamp,,,,,,,Color,teal,,,,,fantastic-steel-lamp-teal,978,,deny,9,manual,87.6,,TRUE,TRUE,,,,
fantastic-steel-lamp,,,,,,,Color,pink,,,,,fantastic-steel-lamp-pink,291,,deny,15,manual,87.6,,TRUE,TRUE,,,,
enormous-leather-gloves,Enormous Leather Gloves,Furtive accursed antiquarian antediluvian dank noisome unnamable daemoniac gambrel. Knausgaard mlkshk portland kombucha 3 wolf moon pork belly. Attitude Adjuster. Labtebricolephile.,Mann-Corwin,Videos,"Books,Automotive,Beauty",TRUE,Color,brown,,,,,,753,,deny,49,manual,40.11,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Awkward Customer,FALSE
enormous-leather-gloves,,,,,,,Color,apricot,,,,,enormous-leather-gloves-apricot,263,,deny,27,manual,40.11,,TRUE,TRUE,,,,
enormous-leather-gloves,,,,,,,Color,maroon,,,,,enormous-leather-gloves-maroon,555,,deny,33,manual,40.11,,TRUE,TRUE,,,,
heavy-duty-cotton-clock,Heavy Duty Cotton Clock,Size Isn't Everything. Mortal iridescence foetid indescribable. Use Psychology. Letterpress green juice wes anderson hella gentrify brunch distillery.,Considine and Sons,Videos,"Grocery,Grocery,Sports",TRUE,Color,violet,,,,,,816,,deny,49,manual,90.75,,TRUE,TRUE,,https://source.unsplash.com/random/?houseplant ,Problem Child,FALSE
heavy-duty-cotton-clock,,,,,,,Color,ivory,,,,,heavy-duty-cotton-clock-ivory,712,,deny,6,manual,90.75,,TRUE,TRUE,,,,
heavy-duty-cotton-clock,,,,,,,Color,coffee,,,,,heavy-duty-cotton-clock-coffee,668,,deny,36,manual,90.75,,TRUE,TRUE,,,,
mediocre-concrete-pants,Mediocre Concrete Pants,"Bodhisattva , OAQS. Xoxo +1 messenger bag knausgaard. Fungus cat comprehension hideous. Beats Working.","Schmitt, Russel and Brown",Videos,"Tools,Health,Kids",TRUE,Color,cerise,,,,,,319,,deny,17,manual,89.74,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Eschatologist,FALSE
mediocre-concrete-pants,,,,,,,Color,orchid,,,,,mediocre-concrete-pants-orchid,816,,deny,21,manual,89.74,,TRUE,TRUE,,,,
mediocre-concrete-pants,,,,,,,Color,lilac,,,,,mediocre-concrete-pants-lilac,643,,deny,44,manual,89.74,,TRUE,TRUE,,,,
aerodynamic-paper-gloves,Aerodynamic Paper Gloves,Mixtape biodiesel tousled cardigan ramps cred trust fund. Dank abnormal antiquarian ululate stench swarthy nameless unutterable. Pride Comes Before A Fall. Shoot Them Later.,Wehner-McLaughlin,Videos,"Books,Industrial,Toys",TRUE,Color,harlequin,,,,,,735,,deny,30,manual,40.21,,TRUE,TRUE,,https://source.unsplash.com/random/?cutlery ,Sweet and Full of Grace,FALSE
aerodynamic-paper-gloves,,,,,,,Color,raspberry,,,,,aerodynamic-paper-gloves-raspberry,883,,deny,27,manual,40.21,,TRUE,TRUE,,,,
aerodynamic-paper-gloves,,,,,,,Color,erin,,,,,aerodynamic-paper-gloves-erin,665,,deny,49,manual,40.21,,TRUE,TRUE,,,,
